/*****************seed6node49********************/


New round
The delay is  	0 minutes	0 seconde	9 ms
The delay is  	0 minutes	0 seconde	74 ms
The delay is  	0 minutes	0 seconde	57 ms
The delay is  	0 minutes	0 seconde	77 ms
The delay is  	0 minutes	0 seconde	76 ms
The delay is  	0 minutes	0 seconde	96 ms
The delay is  	0 minutes	0 seconde	68 ms
The delay is  	0 minutes	0 seconde	74 ms
The delay is  	0 minutes	0 seconde	93 ms
The delay is  	0 minutes	0 seconde	58 ms
The delay is  	0 minutes	0 seconde	67 ms
The delay is  	0 minutes	0 seconde	26 ms
The delay is  	0 minutes	0 seconde	42 ms
The delay is  	0 minutes	0 seconde	30 ms
The delay is  	0 minutes	0 seconde	42 ms
The delay is  	0 minutes	0 seconde	45 ms
The delay is  	0 minutes	0 seconde	29 ms
The delay is  	0 minutes	0 seconde	0 ms
The delay is  	0 minutes	0 seconde	-6 ms
The delay is  	0 minutes	0 seconde	5 ms
The delay is  	0 minutes	0 seconde	26 ms
The delay is  	0 minutes	0 seconde	48 ms
The delay is  	0 minutes	0 seconde	33 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	79 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	11 ms
The delay is  	0 minutes	0 seconde	45 ms
The delay is  	0 minutes	0 seconde	20 ms
The delay is  	0 minutes	0 seconde	18 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	28 ms
The delay is  	0 minutes	0 seconde	32 ms
The delay is  	0 minutes	0 seconde	30 ms
The delay is  	0 minutes	0 seconde	24 ms
The delay is  	0 minutes	0 seconde	21 ms
The delay is  	0 minutes	0 seconde	0 ms
The delay is  	0 minutes	0 seconde	24 ms
The delay is  	0 minutes	0 seconde	49 ms
The delay is  	0 minutes	0 seconde	66 ms
The delay is  	0 minutes	0 seconde	32 ms
The delay is  	0 minutes	0 seconde	24 ms
The delay is  	0 minutes	0 seconde	53 ms
The delay is  	0 minutes	0 seconde	62 ms
The delay is  	0 minutes	0 seconde	77 ms
The delay is  	0 minutes	0 seconde	49 ms

The average delay is 0.0 seconde 36.6326530612 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	17 ms
The delay is  	0 minutes	0 seconde	34 ms
The delay is  	0 minutes	0 seconde	34 ms
The delay is  	0 minutes	0 seconde	37 ms
The delay is  	0 minutes	0 seconde	45 ms
The delay is  	0 minutes	0 seconde	42 ms
The delay is  	0 minutes	0 seconde	36 ms
The delay is  	0 minutes	0 seconde	38 ms
The delay is  	0 minutes	0 seconde	35 ms
The delay is  	0 minutes	0 seconde	20 ms
The delay is  	0 minutes	0 seconde	26 ms
The delay is  	0 minutes	0 seconde	42 ms
The delay is  	0 minutes	0 seconde	11 ms
The delay is  	0 minutes	0 seconde	14 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	0 ms
The delay is  	0 minutes	0 seconde	2 ms
The delay is  	0 minutes	0 seconde	14 ms
The delay is  	0 minutes	0 seconde	17 ms
The delay is  	0 minutes	0 seconde	-6 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	32 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	18 ms
The delay is  	0 minutes	0 seconde	14 ms
The delay is  	0 minutes	0 seconde	11 ms
The delay is  	0 minutes	0 seconde	33 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	6 ms
The delay is  	0 minutes	0 seconde	12 ms
The delay is  	0 minutes	0 seconde	16 ms
The delay is  	0 minutes	0 seconde	22 ms
The delay is  	0 minutes	0 seconde	8 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	63 ms
The delay is  	0 minutes	0 seconde	24 ms
The delay is  	0 minutes	0 seconde	41 ms
The delay is  	0 minutes	0 seconde	16 ms
The delay is  	0 minutes	0 seconde	6 ms
The delay is  	0 minutes	0 seconde	38 ms
The delay is  	0 minutes	0 seconde	54 ms
The delay is  	0 minutes	0 seconde	65 ms

The average delay is 0.0 seconde 21.6734693878 ms

The PDR is : 89.7959183673

we miss 5 node 


New round
The delay is  	0 minutes	0 seconde	40 ms
The delay is  	0 minutes	0 seconde	34 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	-1 ms
The delay is  	0 minutes	0 seconde	53 ms
The delay is  	0 minutes	0 seconde	26 ms
The delay is  	0 minutes	0 seconde	36 ms
The delay is  	0 minutes	0 seconde	36 ms
The delay is  	0 minutes	0 seconde	31 ms
The delay is  	0 minutes	0 seconde	-4 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	30 ms
The delay is  	0 minutes	0 seconde	89 ms
The delay is  	0 minutes	0 seconde	6 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	0 ms
The delay is  	0 minutes	0 seconde	10 ms
The delay is  	0 minutes	0 seconde	29 ms
The delay is  	0 minutes	0 seconde	49 ms
The delay is  	0 minutes	0 seconde	63 ms
The delay is  	0 minutes	0 seconde	33 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	55 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	73 ms
The delay is  	0 minutes	0 seconde	60 ms
The delay is  	0 minutes	0 seconde	51 ms
The delay is  	0 minutes	0 seconde	18 ms
The delay is  	0 minutes	0 seconde	-5 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	-3 ms
The delay is  	0 minutes	0 seconde	74 ms
The delay is  	0 minutes	0 seconde	86 ms
The delay is  	0 minutes	0 seconde	61 ms
The delay is  	0 minutes	0 seconde	55 ms
The delay is  	0 minutes	0 seconde	21 ms
The delay is  	0 minutes	0 seconde	0 ms
The delay is  	0 minutes	0 seconde	31 ms
The delay is  	0 minutes	0 seconde	64 ms
The delay is  	0 minutes	0 seconde	50 ms
The delay is  	0 minutes	0 seconde	47 ms
The delay is  	0 minutes	0 seconde	48 ms
The delay is  	0 minutes	0 seconde	53 ms
The delay is  	0 minutes	0 seconde	31 ms
The delay is  	0 minutes	0 seconde	30 ms
The delay is  	0 minutes	0 seconde	49 ms

The average delay is 0.0 seconde 30.6259891712 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	17 ms
The delay is  	0 minutes	0 seconde	34 ms
The delay is  	0 minutes	0 seconde	50 ms
The delay is  	0 minutes	0 seconde	69 ms
The delay is  	0 minutes	0 seconde	68 ms
The delay is  	0 minutes	0 seconde	73 ms
The delay is  	0 minutes	0 seconde	83 ms
The delay is  	0 minutes	0 seconde	36 ms
The delay is  	0 minutes	0 seconde	22 ms
The delay is  	0 minutes	0 seconde	51 ms
The delay is  	0 minutes	0 seconde	36 ms
