/*****************seed20node30********************/


New round
The delay is  	0 minutes	0 seconde	87 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	318 ms
The delay is  	0 minutes	0 seconde	235 ms
The delay is  	0 minutes	0 seconde	185 ms
The delay is  	0 minutes	0 seconde	184 ms
The delay is  	0 minutes	0 seconde	159 ms
The delay is  	0 minutes	0 seconde	69 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.0 seconde 281.166666667 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	158 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	302 ms
The delay is  	0 minutes	0 seconde	206 ms
The delay is  	0 minutes	0 seconde	139 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.26666666667 seconde 309.005555556 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	40 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	274 ms
The delay is  	0 minutes	0 seconde	208 ms
The delay is  	0 minutes	0 seconde	200 ms
The delay is  	0 minutes	0 seconde	65 ms
The delay is  	0 minutes	0 seconde	22 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.06666666667 seconde 288.133518519 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	17 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	313 ms
The delay is  	0 minutes	0 seconde	208 ms
The delay is  	0 minutes	0 seconde	130 ms
The delay is  	0 minutes	0 seconde	18 ms
The delay is  	0 minutes	0 seconde	-2 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.06666666667 seconde 283.271117284 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	56 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	302 ms
The delay is  	0 minutes	0 seconde	184 ms
The delay is  	0 minutes	0 seconde	97 ms
The delay is  	0 minutes	0 seconde	37 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.13333333333 seconde 293.775703909 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	158 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	266 ms
The delay is  	0 minutes	0 seconde	239 ms
The delay is  	0 minutes	0 seconde	239 ms
The delay is  	0 minutes	0 seconde	206 ms
The delay is  	0 minutes	0 seconde	139 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.03333333333 seconde 302.192523464 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	103 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	294 ms
The delay is  	0 minutes	0 seconde	159 ms
The delay is  	0 minutes	0 seconde	84 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.16666666667 seconde 304.106417449 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	111 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	0 seconde	317 ms
The delay is  	0 minutes	0 seconde	206 ms
The delay is  	0 minutes	0 seconde	92 ms
The delay is  	0 minutes	0 seconde	-4 ms

The average delay is 1.3 seconde 307.170213915 ms

The PDR is : 100.0

we miss 0 node 


New round
The delay is  	0 minutes	0 seconde	149 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	2 seconde	328 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
The delay is  	0 minutes	1 seconde	327 ms
